tweet_id,author_id,inbound,created_at,text,response_tweet_id,in_response_to_tweet_id
119237,105834,True,Wed Oct 11 06:55:44 +0000 2017,"causing the reply to be disregarded and the tapped notification under the keyboard is opened",119236,
119250,105838,True,Wed Oct 11 05:33:17 +0000 2017,"hi apple, latest ios is too slow on iphone6 and I am not happy",119249,
119253,105839,True,Wed Oct 11 07:21:34 +0000 2017,"I just updated my phone and suddenly everything takes ages to load",119252,
119256,105840,True,Wed Oct 11 12:53:29 +0000 2017,"Please help! Spotify Premium skipping through songs constantly on android tablet",119254,
119263,105841,True,Wed Oct 11 06:29:07 +0000 2017,"after the update my phone apps are broken and wifi disconnects frequently",119262,
119268,105843,True,Wed Oct 11 06:27:16 +0000 2017,"I used my phone for 2 minutes and it drains battery down 8 percent",119267,
119270,105844,True,Wed Oct 11 06:49:50 +0000 2017,"Can you get my iPhone back on the old iOS? Battery runs out in half the time",119269,
119276,105845,True,Wed Oct 11 13:38:04 +0000 2017,"My internet is down and support says 24-72 hours",119275,
119278,105676,True,Wed Oct 11 13:24:06 +0000 2017,"I need a refund for my service",119277,
119283,105847,True,Wed Oct 11 12:37:46 +0000 2017,"I have issues with playback; songs stop midway and won't restart",119281,
119292,105848,True,Wed Oct 11 08:06:34 +0000 2017,"iOS update is still killing my battery",119289,
119299,105851,True,Wed Oct 11 07:16:18 +0000 2017,"I need a new code for my i-store; I haven't received any",119298,
119319,105856,True,Wed Oct 11 13:36:32 +0000 2017,"website is broken and there are no delivery slots",119317,
119324,105857,True,Wed Oct 11 08:52:14 +0000 2017,"latest iOS version; issue started immediately after update",119323,
119326,105857,True,Tue Oct 10 23:09:08 +0000 2017,"apps stop working and phone freezes every five minutes",119325,
119328,105858,True,Wed Oct 11 02:04:50 +0000 2017,"Problem with printhead",119327,
119330,105859,True,Wed Oct 11 13:50:42 +0000 2017,"I wish Amazon had an option where I can get it shipped to a UPS store",119329,
119331,105860,True,Wed Oct 11 13:47:14 +0000 2017,"They rescheduled my package for tomorrow",119330,
119333,105861,True,Wed Oct 11 14:05:18 +0000 2017,"website layout is cumbersome and removing an item causes a huge slowdown",119335,
